avg,evals,gen,max,min,std
0.054,500,0,1.0,0.0,0.13462540622037134
0.1088,500,1,1.4,0.0,0.22271632180870804
0.2576,500,2,1.6,0.0,0.33591999047392224
0.4124,500,3,1.6,0.0,0.3895718675674618
0.5432,500,4,1.8,0.0,0.4041457162954966
0.5552,500,5,2.0,0.0,0.3952631528488331
0.6652,500,6,2.4,0.0,0.4421639514931085
0.6848000000000001,500,7,3.6,0.0,0.4781725211678312
0.782,500,8,2.2,0.0,0.46963389996890126
0.8435999999999999,500,9,3.4,0.0,0.5096852361997549
0.8636,500,10,2.6,0.0,0.5045741174495576
0.9064,500,11,2.8,0.0,0.5296404818365001
0.9736,500,12,3.0,0.0,0.5505842714789445
1.0344,500,13,3.0,0.0,0.5442946260987702
1.07,500,14,2.6,0.0,0.5381263792084532
1.2132,500,15,3.6,0.0,0.6069479055075485
1.208,500,16,3.6,0.0,0.6313921127160206
1.2355999999999998,500,17,3.6,0.0,0.6771208459351993
1.2428000000000001,500,18,3.6,0.0,0.6738606384112371
1.3871999999999998,500,19,7.8,0.0,0.8187772346615408
1.4084,500,20,5.8,0.0,0.9041291058250475
1.6844000000000001,500,21,6.8,0.0,1.0339809669428157
1.9804000000000002,500,22,6.8,0.0,1.1972033411246394
2.2736000000000005,500,23,8.0,0.0,1.446050842812935
2.9048000000000003,500,24,10.0,0.0,1.8203892331037337
3.5536,500,25,11.2,0.0,2.2659406523561025
3.654,500,26,11.0,0.0,2.10349328499047
3.9584,500,27,10.4,0.0,2.250837497466221
3.914,500,28,12.2,0.0,2.3328360422455754
4.0516,500,29,10.4,0.0,2.227818987260859
3.9876,500,30,10.4,0.0,2.3493501739842872
3.9616000000000002,500,31,11.0,0.0,2.2615670319493075
3.8251999999999997,500,32,10.4,0.0,2.2310726030320036
3.7491999999999996,500,33,13.0,0.0,2.379726740615401
3.8952,500,34,10.2,0.0,2.231102185019772
3.7743999999999995,500,35,11.6,0.0,2.0973851911368113
3.9316,500,36,10.6,0.0,2.288169888797595
4.0784,500,37,12.6,0.0,2.294047392710098
4.1091999999999995,500,38,10.2,0.0,2.253281021089025
4.028,500,39,10.8,0.0,2.269911011471595
4.0068,500,40,10.8,0.0,2.1840590101918034
3.958,500,41,10.4,0.0,2.2420517389212944
4.0812,500,42,10.4,0.0,2.1851971444242735
4.0104,500,43,10.0,0.0,2.228410159732719
4.2332,500,44,11.4,0.0,2.2019122961644046
3.9988,500,45,12.0,0.0,2.278859047857063
4.0684,500,46,11.0,0.0,2.291768190720868
4.158399999999999,500,47,11.2,0.0,2.250837497466221
3.896,500,48,11.4,0.0,2.2364757991089466
4.1468,500,49,10.2,0.0,2.3014364557814755
3.9852,500,50,12.6,0.0,2.3750412543785426
4.0588,500,51,10.4,0.0,2.2198699421362504
4.097600000000001,500,52,11.6,0.0,2.3637077315099684
3.8316,500,53,10.0,0.0,2.212483093720718
3.9703999999999997,500,54,9.8,0.0,2.3218104659941563
4.1304,500,55,11.4,0.0,2.232620845553494
4.1204,500,56,11.4,0.0,2.346091183223704
3.9879999999999995,500,57,10.6,0.0,2.2598796428128645
3.9468,500,58,12.8,0.0,2.291228875516368
4.0172,500,59,10.6,0.0,2.4468641482517985
4.0644,500,60,11.6,0.0,2.331028236637214
4.1588,500,61,11.0,0.0,2.328669697488246
4.0468,500,62,11.2,0.0,2.4069503027690455
4.105600000000001,500,63,11.0,0.0,2.2914555723382466
4.2176,500,64,11.0,0.0,2.435374763768402
4.136400000000001,500,65,10.6,0.0,2.3185933321736263
3.9412000000000007,500,66,11.4,0.0,2.5879997217928756
3.8316,500,67,10.4,0.0,2.4943539123388243
4.0828,500,68,10.4,0.0,2.5690356478647782
3.9471999999999996,500,69,11.8,0.0,2.508755101639058
4.0584,500,70,10.4,0.0,2.4777307036883567
4.1644,500,71,12.2,0.0,2.473267603798667
4.166,500,72,11.4,0.0,2.415923012018388
4.1668,500,73,11.6,0.0,2.592099103043709
4.08,500,74,13.0,0.0,2.581038550661342
4.2604,500,75,11.0,0.0,2.358497793087795
4.0396,500,76,11.2,0.0,2.3885962069801585
4.1648000000000005,500,77,11.4,0.0,2.577727867716063
4.3172,500,78,10.4,0.0,2.543215319236655
4.191200000000001,500,79,12.2,0.0,2.6203668750768467
4.326,500,80,11.6,0.0,2.5534063523066592
4.46,500,81,10.4,0.0,2.521031534907884
4.364,500,82,12.6,0.0,2.623856703404361
4.0768,500,83,10.0,0.0,2.469109507494554
4.271199999999999,500,84,11.6,0.0,2.45911580857836
4.390800000000001,500,85,11.8,0.0,2.5381874162480593
4.304,500,86,12.2,0.0,2.5101203158414536
4.564799999999999,500,87,12.8,0.0,2.466260521518357
4.2124,500,88,18.6,0.0,2.4978883561920857
4.510800000000001,500,89,19.2,0.0,3.0371505329831776
5.6428,500,90,19.8,0.0,4.105314623752971
7.9516,500,91,20.0,0.0,5.270458940168304
9.0008,500,92,21.4,0.0,5.333906575859761
9.116,500,93,20.4,0.0,5.552122477035247
8.909600000000001,500,94,22.6,0.0,5.625597554038149
8.1784,500,95,20.2,0.0,5.470079838539837
9.232400000000002,500,96,20.6,0.0,5.423533003495047
8.2452,500,97,19.6,0.0,5.566079137058689
8.9536,500,98,22.2,0.0,5.843951320810262
8.5308,500,99,20.0,0.0,5.467980555927389
8.274799999999999,500,100,22.2,0.0,5.5508490305537945
8.4952,500,101,21.6,0.0,5.29011691364189
8.399600000000003,500,102,19.6,0.0,5.457303348724532
9.0652,500,103,20.8,0.0,5.343361204335713
8.645199999999999,500,104,19.0,0.0,5.42538818519007
8.462,500,105,19.2,0.0,5.339879773927499
9.1148,500,106,19.8,0.0,5.245052998778944
8.4884,500,107,21.2,0.0,5.348923764646492
8.797600000000001,500,108,22.8,0.0,5.646860564951113
9.4832,500,109,20.8,0.0,5.068881312479115
8.6864,500,110,21.2,0.0,5.505682068554268
9.544,500,111,20.0,0.0,5.190166085974513
9.2472,500,112,22.6,0.0,5.211004908844359
