avg,evals,gen,max,min,std
0.068,500,0,2.2,0.0,0.1739425192412712
0.1564,500,1,3.2,0.0,0.3554420346554414
0.35520000000000007,500,2,5.0,0.0,0.6015255273053671
0.7495999999999999,500,3,7.6,0.0,1.036156281648671
1.3991999999999998,500,4,6.6,0.0,1.2756799598645423
2.0164,500,5,8.6,0.0,1.5677662580882392
2.1252,500,6,8.2,0.0,1.7462889108048532
2.4576,500,7,8.8,0.0,2.0206242203833944
2.7728,500,8,10.6,0.0,2.323114323489053
3.168,500,9,10.4,0.0,2.5686914956841354
3.8004000000000002,500,10,12.2,0.0,2.8266304746110693
4.458,500,11,13.0,0.0,3.1442258188622523
5.118,500,12,17.2,0.0,3.4999079987908255
4.893199999999999,500,13,15.4,0.0,3.602181805517317
5.3316,500,14,17.4,0.0,3.8578804336059975
5.62,500,15,22.2,0.0,4.254813744454627
7.302,500,16,21.6,0.0,5.379702222242417
10.114,500,17,25.2,0.0,6.228403005586585
10.869600000000002,500,18,25.6,0.0,6.355378496989774
11.0904,500,19,24.0,0.0,6.358577501296968
10.718399999999999,500,20,25.4,0.0,6.446076437647943
10.5804,500,21,23.2,0.0,6.379142249550483
10.822400000000002,500,22,27.4,0.0,6.456969741295061
10.2696,500,23,24.2,0.0,6.625861139504812
10.3136,500,24,24.4,0.0,6.731244687277383
10.8952,500,25,25.2,0.0,6.174882748684382
11.106,500,26,26.0,0.0,6.289435904753303
10.336,500,27,24.4,0.0,6.256227617342579
10.7228,500,28,25.8,0.0,6.638906548521375
10.098799999999999,500,29,23.6,0.0,6.7132524576392925
9.698,500,30,22.2,0.0,6.676747411726761
10.037199999999999,500,31,26.4,0.0,6.518918327452799
9.8364,500,32,24.0,0.0,6.383055306042711
9.7912,500,33,26.0,0.0,6.6281643431647055
10.7652,500,34,23.2,0.0,6.238986212518826
9.963599999999998,500,35,25.0,0.0,6.641388035644357
10.9616,500,36,27.4,0.0,6.415254121233234
10.3856,500,37,25.0,0.0,6.631774471436736
10.7272,500,38,24.8,0.0,6.607085602593627
10.993599999999999,500,39,23.2,0.0,6.781206311564338
10.700800000000001,500,40,26.0,0.0,7.111584869774107
10.696,500,41,27.6,0.0,6.794720303294316
10.773200000000001,500,42,25.8,0.0,6.795810603599839
11.6756,500,43,25.4,0.0,7.022179479335458
11.4572,500,44,24.4,0.0,6.9930371198786005
11.4964,500,45,27.2,0.0,7.441842986787615
11.9372,500,46,27.0,0.0,6.8516725082274625
12.1468,500,47,26.0,0.0,7.034950586891141
11.8712,500,48,26.0,0.0,6.674900041199119
11.764800000000001,500,49,25.6,0.0,7.1250011199999115
11.7188,500,50,26.4,0.0,7.1261017786725445
11.929599999999999,500,51,25.6,0.0,6.928573001708217
12.16,500,52,28.8,0.0,6.902011301062901
11.94,500,53,25.8,0.0,6.89103185306816
