avg,evals,gen,max,min,std
0.0592,500,0,1.0,0.0,0.1502509900133773
0.1308,500,1,1.4,0.0,0.25442358381250746
0.32039999999999996,500,2,1.8,0.0,0.3916935536870628
0.5336,500,3,2.2,0.0,0.45894557411527565
0.5852,500,4,2.2,0.0,0.4468791335473161
0.7072,500,5,4.4,0.0,0.5908876035254083
0.9875999999999999,500,6,5.0,0.0,0.9447572386597521
1.4224,500,7,7.8,0.0,1.3579905154307963
2.032,500,8,8.4,0.0,1.6308819699782078
2.3636000000000004,500,9,8.6,0.0,1.7834447117867154
2.5203999999999995,500,10,11.2,0.0,1.9064479641469367
2.6324,500,11,9.8,0.0,1.8821238641492222
2.792,500,12,8.6,0.0,1.898445680023529
2.6283999999999996,500,13,10.0,0.0,1.903573859875156
2.8776,500,14,11.6,0.0,1.9885819671313527
2.8575999999999993,500,15,11.8,0.0,2.0790868764916968
3.2788000000000004,500,16,13.6,0.0,2.4467019761303175
3.6351999999999998,500,17,12.0,0.0,2.742823537889377
4.0363999999999995,500,18,14.0,0.0,2.887219257347803
4.556799999999999,500,19,13.6,0.0,2.991115805180401
4.6848,500,20,14.4,0.0,3.1387910029181616
4.6136,500,21,14.4,0.0,3.0760193497440813
4.916399999999999,500,22,14.8,0.0,3.1909326285586164
4.9156,500,23,13.4,0.0,3.1624289146161058
4.815200000000001,500,24,15.8,0.0,3.2431233340716474
4.5216,500,25,15.4,0.0,3.101911255983962
4.650399999999999,500,26,17.8,0.0,3.270525927125483
4.567200000000001,500,27,14.4,0.0,3.102006473236315
4.8104,500,28,14.2,0.0,3.060962567559427
5.0192000000000005,500,29,15.2,0.0,3.184630490339499
5.098,500,30,14.2,0.0,3.245316009266278
4.7056000000000004,500,31,15.4,0.0,3.4085845508069768
4.5752,500,32,12.6,0.0,3.190564990718728
4.7112,500,33,16.0,0.0,3.2816024378342967
4.444,500,34,13.6,0.0,3.215211346085977
4.671600000000001,500,35,20.6,0.0,3.3911994102382126
4.7076,500,36,20.2,0.0,3.2584447578561155
4.8888,500,37,21.2,0.0,4.281396332973625
7.6011999999999995,500,38,21.6,0.0,6.063391671333792
8.909199999999998,500,39,24.4,0.0,6.826325172448204
9.1752,500,40,31.6,0.0,7.573935896216709
11.411200000000001,500,41,31.0,0.0,8.57064026546442
12.862,500,42,31.2,0.0,9.279736849717239
12.5072,500,43,33.4,0.0,9.729988086323642
15.086400000000001,500,44,33.2,0.0,9.904361415053472
16.002,500,45,33.6,0.0,10.718682568301013
17.1036,500,46,33.8,0.0,12.546198908035853
20.061199999999996,500,47,34.6,0.0,13.950197653080046
21.4432,500,48,34.2,0.0,13.987882390126105
20.9972,500,49,34.4,0.0,14.251245284535663
20.8528,500,50,34.2,0.0,14.449302134013255
20.9136,500,51,34.6,0.0,14.367487429609954
